Author,Authority,Category,Compatibility,Content_rating,Description,Detail,Developer_address,Developer_email,Developer_website,Icon,Installs,Item_name,Link,Package,Price,Rating,Review_number,Score,Similar,Size,Update,Version
,"{'Device & app history': ['retrieve running apps'], 'Location': ['approximate location (network-based)', 'precise location (GPS and network-based)'], 'Phone': ['read phone status and identity'], 'Photos/Media/Files': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Camera': ['take pictures and videos'], 'Microphone': ['record audio'], 'Wi-Fi connection information': ['view Wi-Fi connections'], 'Device ID & call information': ['read phone status and identity'], 'Other': ['Google Play license check', 'access Bluetooth settings', 'change network connectivity', 'connect and disconnect from Wi-Fi', 'control vibration', 'expand/collapse status bar', 'full network access', 'pair with Bluetooth devices', 'prevent device from sleeping', 'run at startup', 'view network connections'], 'Uncategorized': ['receive data from Internet']}",,,,,,,,,,,,,com.meitu.makeup,,,,,,,,
,"{'Phone': ['add voicemail', 'directly call phone numbers', 'make/receive SIP calls', 'read phone status and identity'], 'Contacts': ['find accounts on the device', 'modify your contacts', 'read your contacts'], 'Location': ['access extra location provider commands', 'approximate location (network-based)', 'precise location (GPS and network-based)'], 'Device ID & call information': ['read phone status and identity'], 'Wearable sensors/Activity data': ['body sensors (like heart rate monitors)'], 'Device & app history': ['read sensitive log data', 'read your Web bookmarks and history', 'retrieve running apps'], 'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Wi-Fi connection information': ['view Wi-Fi connections'], 'Identity': ['add or remove accounts', 'find accounts on the device', 'modify your own contact card', 'read your own contact card'], 'Calendar': [""add or modify calendar events and send email to guests without owners' knowledge"", 'read calendar events plus confidential information'], 'Photos/Media/Files': ['access USB storage filesystem', 'modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Camera': ['take pictures and videos'], 'Microphone': ['record audio'], 'Cellular data settings': ['change/intercept network settings and traffic'], 'Other': ['Change WiMAX state', 'access Bluetooth settings', 'act as the AccountManagerService', 'add words to user-defined dictionary', 'allow Wi-Fi Multicast reception', 'change network connectivity', 'change system display settings', 'change your audio settings', 'close other apps', 'connect and disconnect from Wi-Fi', 'control Near Field Communication', 'control flashlight', 'control vibration', 'create accounts and set passwords', 'delete all app cache data', 'disable your screen lock', 'draw over other apps', 'expand/collapse status bar', 'full network access', 'install shortcuts', 'make app always run', 'measure app storage space', 'mock location sources for testing', 'modify system settings', 'pair with Bluetooth devices', 'prevent device from sleeping', 'read Google service configuration', 'read battery statistics', 'read sync settings', 'read terms you added to the dictionary', 'reorder running apps', 'run at startup', 'send sticky broadcast', 'set an alarm', 'set time zone', 'set wallpaper', 'toggle sync on and off', 'uninstall shortcuts', 'use accounts on the device', 'view network connections', 'write web bookmarks and history'], 'Uncategorized': ['Access download manager.', 'Read install sessions', 'access the cache filesystem', 'adjust your wallpaper size', 'choose widgets', 'close other apps', 'connect and disconnect from WiMAX', 'control media playback and metadata access', 'delete apps', ""delete other apps' data"", 'directly install apps', 'download files without notification', 'modify/delete internal media storage contents', 'power device on or off', 'read Home settings and shortcuts', 'read historical network usage', 'read instant messages', 'read subscribed feeds', 'read sync statistics', 'read your social stream', 'receive data from Internet', 'transmit infrared', 'update component usage statistics', 'write Home settings and shortcuts', 'write instant messages', 'write subscribed feeds', 'write to your social stream']}",,,,,,,,,,,,,com.lbe.parallel.intl,,,,,,,,
,"{'Photos/Media/Files': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Wi-Fi connection information': ['view Wi-Fi connections'], 'Other': ['control vibration', 'full network access', 'prevent device from sleeping', 'run at startup', 'view network connections']}",,,,,,,,,,,,,com.relaxgames.foodcutting,,,,,,,,
,"{'Contacts': ['read your contacts'], 'Location': ['approximate location (network-based)', 'precise location (GPS and network-based)'], 'Phone': ['read phone status and identity'], 'Photos/Media/Files': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Camera': ['take pictures and videos'], 'Wi-Fi connection information': ['view Wi-Fi connections'], 'Device ID & call information': ['read phone status and identity'], 'Other': ['draw over other apps', 'full network access', 'prevent device from sleeping', 'run at startup', 'view network connections'], 'Uncategorized': ['receive data from Internet']}",,,,,,,,,,,,,com.ph3.bootcash,,,,,,,,
,"{'Wi-Fi connection information': ['view Wi-Fi connections'], 'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Photos/Media/Files': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Other': ['full network access', 'prevent device from sleeping', 'run at startup', 'view network connections'], 'Uncategorized': ['receive data from Internet']}",,,,,,,,,,,,,com.traplight.battleslides,,,,,,,,
,"{'Identity': ['find accounts on the device'], 'Contacts': ['find accounts on the device', 'read your contacts'], 'Location': ['approximate location (network-based)', 'precise location (GPS and network-based)'], 'Phone': ['read phone status and identity'], 'Photos/Media/Files': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Camera': ['take pictures and videos'], 'Wi-Fi connection information': ['view Wi-Fi connections'], 'Device ID & call information': ['read phone status and identity'], 'Other': ['full network access', 'prevent device from sleeping', 'view network connections'], 'Uncategorized': ['receive data from Internet']}",,,,,,,,,,,,,tech.codeblock.okpeso,,,,,,,,
,"{'Location': ['precise location (GPS and network-based)'], 'Identity': ['add or remove accounts', 'find accounts on the device'], 'Photos/Media/Files': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Contacts': ['find accounts on the device', 'modify your contacts', 'read your contacts'], 'Calendar': ['read calendar events plus confidential information'], 'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Camera': ['take pictures and videos'], 'Microphone': ['record audio'], 'Wi-Fi connection information': ['view Wi-Fi connections'], 'Device ID & call information': ['read phone status and identity'], 'Phone': ['read phone status and identity'], 'Other': ['Google Play license check', 'change your audio settings', 'control Near Field Communication', 'control vibration', 'create accounts and set passwords', 'full network access', 'pair with Bluetooth devices', 'prevent device from sleeping', 'read sync settings', 'run at startup', 'toggle sync on and off', 'view network connections'], 'Uncategorized': ['read sync statistics', 'receive data from Internet']}",,,,,,,,,,,,,com.linkedin.android,,,,,,,,
,"{'Contacts': ['find accounts on the device'], 'Wi-Fi connection information': ['view Wi-Fi connections'], 'Device & app history': ['read your Web bookmarks and history', 'retrieve running apps'], 'Photos/Media/Files': ['access USB storage filesystem', 'modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Camera': ['take pictures and videos'], 'Identity': ['add or remove accounts', 'find accounts on the device'], 'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Location': ['approximate location (network-based)', 'precise location (GPS and network-based)'], 'Other': ['access Bluetooth settings', 'allow Wi-Fi Multicast reception', 'change network connectivity', 'change your audio settings', 'close other apps', 'connect and disconnect from Wi-Fi', 'control vibration', 'create accounts and set passwords', 'delete all app cache data', 'disable your screen lock', 'draw over other apps', 'expand/collapse status bar', 'full network access', 'install shortcuts', 'make app always run', 'measure app storage space', 'modify system settings', 'pair with Bluetooth devices', 'prevent device from sleeping', 'run at startup', 'set wallpaper', 'toggle sync on and off', 'uninstall shortcuts', 'use accounts on the device', 'view network connections', 'write web bookmarks and history'], 'Uncategorized': ['Access download manager.', 'adjust your wallpaper size', 'full license to interact across users', 'read Home settings and shortcuts', 'read sync statistics', 'receive data from Internet', 'update component usage statistics']}",,,,,,,,,,,,,com.UCMobile.intl,,,,,,,,
,"{None: None, 'Other': ['full network access', 'prevent device from sleeping', 'run at startup', 'view network connections']}",,,,,,,,,,,,,com.chaloapps.strikefortressbox,,,,,,,,
,"{'Photos/Media/Files': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Other': ['control vibration', 'full network access', 'prevent device from sleeping', 'run at startup', 'view network connections']}",,,,,,,,,,,,,com.downloadmusic.mp3songsfreely,,,,,,,,
,"{'Camera': ['take pictures and videos'], 'Photos/Media/Files': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Wi-Fi connection information': ['view Wi-Fi connections'], 'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Other': ['connect and disconnect from Wi-Fi', 'control vibration', 'full network access', 'prevent device from sleeping', 'view network connections'], 'Uncategorized': ['receive data from Internet']}",,,,,,,,,,,,,com.supercell.clashroyale,,,,,,,,
,"{'Photos/Media/Files': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Microphone': ['record audio'], 'Wi-Fi connection information': ['view Wi-Fi connections'], 'Device & app history': ['retrieve running apps'], 'Contacts': ['find accounts on the device', 'modify your contacts', 'read your contacts'], 'Device ID & call information': ['read phone status and identity'], 'Camera': ['take pictures and videos'], 'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Identity': ['add or remove accounts', 'find accounts on the device'], 'Location': ['approximate location (network-based)', 'precise location (GPS and network-based)'], 'SMS': ['read your text messages (SMS or MMS)', 'receive text messages (SMS)', 'send SMS messages'], 'Phone': ['directly call phone numbers', 'modify phone state', 'read phone status and identity'], 'Other': ['change network connectivity', 'change your audio settings', 'connect and disconnect from Wi-Fi', 'control Near Field Communication', 'control flashlight', 'control vibration', 'create accounts and set passwords', 'draw over other apps', 'expand/collapse status bar', 'full network access', 'install shortcuts', 'limit number of running processes', 'modify system settings', 'pair with Bluetooth devices', 'prevent device from sleeping', 'read Google service configuration', 'read battery statistics', 'read sync settings', 'run at startup', 'set an alarm', 'toggle sync on and off', 'uninstall shortcuts', 'view network connections'], 'Uncategorized': ['Access keyguard secure storage', 'SmartcardServicePermission label', 'access SurfaceFlinger', 'add or remove a device admin', 'delete apps', ""delete other apps' data"", 'directly install apps', 'disable or modify status bar', 'display unauthorized windows', 'full license to interact across users', 'interact across users', 'manage users', 'modify secure system settings', 'monitor and control all app launching', 'power device on or off', 'press keys and control buttons', 'prevent app switches', 'read frame buffer', 'read sync statistics', 'receive data from Internet', 'retrieve running apps', 'send SMS-received broadcast', 'status bar', 'stop running apps', 'update component usage statistics']}",,,,,,,,,,,,,com.samsung.android.spay,,,,,,,,
,"{None: None, 'Device & app history': ['read sensitive log data'], 'Photos/Media/Files': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Wi-Fi connection information': ['view Wi-Fi connections'], 'Other': ['change network connectivity', 'connect and disconnect from Wi-Fi', 'control vibration', 'full network access', 'install shortcuts', 'prevent device from sleeping', 'run at startup', 'view network connections'], 'Uncategorized': ['receive data from Internet']}",,,,,,,,,,,,,com.diamondlife.slots.vegas.free,,,,,,,,
,"{'Photos/Media/Files': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Contacts': ['find accounts on the device'], 'Wi-Fi connection information': ['view Wi-Fi connections'], 'Phone': ['read phone status and identity'], 'Device ID & call information': ['read phone status and identity'], 'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Identity': ['find accounts on the device'], 'Other': ['control vibration', 'draw over other apps', 'full network access', 'prevent device from sleeping', 'run at startup', 'view network connections'], 'Uncategorized': ['receive data from Internet']}",,,,,,,,,,,,,air.com.playtika.slotomania,,,,,,,,
,"{'Device & app history': ['retrieve running apps'], 'Photos/Media/Files': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Camera': ['take pictures and videos'], 'Wi-Fi connection information': ['view Wi-Fi connections'], 'Other': ['control vibration', 'full network access', 'pair with Bluetooth devices', 'prevent device from sleeping', 'run at startup', 'use accounts on the device', 'view network connections'], 'Uncategorized': ['receive data from Internet', 'update component usage statistics']}",,,,,,,,,,,,,online.cashemall.app,,,,,,,,
,"{None: None, 'Phone': ['read phone status and identity'], 'Photos/Media/Files': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Wi-Fi connection information': ['view Wi-Fi connections'], 'Device ID & call information': ['read phone status and identity'], 'Other': ['full network access', 'prevent device from sleeping', 'run at startup', 'view network connections']}",,,,,,,,,,,,,com.racing.car.crash.turbo,,,,,,,,
,"{'Contacts': ['read your contacts'], 'Location': ['approximate location (network-based)', 'precise location (GPS and network-based)'], 'Storage': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Wi-Fi connection information': ['view Wi-Fi connections'], 'Identity': ['read your own contact card'], 'Photos/Media/Files': ['modify or delete the contents of your USB storage', 'read the contents of your USB storage'], 'Camera': ['take pictures and videos'], 'Other': ['allow Wi-Fi Multicast reception', 'connect and disconnect from Wi-Fi', 'control vibration', 'full network access', 'prevent device from sleeping', 'read Google service configuration', 'run at startup', 'use accounts on the device', 'view network connections'], 'Uncategorized': ['receive data from Internet']}",,,,,,,,,,,,,com.sirma.mobile.bible.android,,,,,,,,
